ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693832400000'}]
2023-09-08 09:56:34,228 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'CJ23OK2PNL6ZVRBZI5DRAEYWKE', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'CJ23OK2PNL6ZVRBZI5DRAEYWKE', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.222Z, 2023-09-08T10:31:34.222Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe4f4d9e-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693832700000'}]
2023-09-08 09:56:34,239 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': '36I7LLK3RHJLEC4T2Q2XWOBKCE', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': '36I7LLK3RHJLEC4T2Q2XWOBKCE', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.234Z, 2023-09-08T10:31:34.234Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe515788-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693833000000'}]
2023-09-08 09:56:34,252 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'YNW553KW2J6LM5QRSTDZ525NMI', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'YNW553KW2J6LM5QRSTDZ525NMI', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.247Z, 2023-09-08T10:31:34.247Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe533986-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693833300000'}]
2023-09-08 09:56:34,265 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'M6VU4E2MZOZJ5EEJAONFMYIXY4', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'M6VU4E2MZOZJ5EEJAONFMYIXY4', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.260Z, 2023-09-08T10:31:34.260Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe551c60-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693833600000'}]
2023-09-08 09:56:34,277 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': '6N3WBXWLG4C26I7YWIC34BNF6E', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': '6N3WBXWLG4C26I7YWIC34BNF6E', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.272Z, 2023-09-08T10:31:34.272Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe570cdc-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693833900000'}]
2023-09-08 09:56:34,289 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'JQIECOGNTI3QWVJCC6PWHABZJU', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'JQIECOGNTI3QWVJCC6PWHABZJU', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.284Z, 2023-09-08T10:31:34.284Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe58d850-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693834200000'}]
2023-09-08 09:56:34,301 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'MCJKLB3MF32Y6MISEA3TLXFVB4', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'MCJKLB3MF32Y6MISEA3TLXFVB4', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.297Z, 2023-09-08T10:31:34.297Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe5aca34-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693834500000'}]
2023-09-08 09:56:34,313 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'RKS2XRW5D3WDLBU42PUBKTJZXU', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'RKS2XRW5D3WDLBU42PUBKTJZXU', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.308Z, 2023-09-08T10:31:34.308Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe5c90bc-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693834800000'}]
2023-09-08 09:56:34,327 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'SZYANFKJY3EKWWP6BZJ3YG57LU', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'SZYANFKJY3EKWWP6BZJ3YG57LU', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.321Z, 2023-09-08T10:31:34.321Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe5e6234-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693835100000'}]
2023-09-08 09:56:34,340 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'BQHWQFDHVVOULZNKJ6CN2VODJI', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'BQHWQFDHVVOULZNKJ6CN2VODJI', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.335Z, 2023-09-08T10:31:34.335Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe60761e-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693835400000'}]
2023-09-08 09:56:34,352 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'LJ6VPDXKSQ6AYUJRRG2CQRVHQI', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'LJ6VPDXKSQ6AYUJRRG2CQRVHQI', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.347Z, 2023-09-08T10:31:34.347Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe627d1a-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693835700000'}]
